"","female_1","female_0","male_1","male_0","p_value","adjusted_p_value"
"LRTM1"," 7","100"," 4","167","0.151881563145337","1"
"LRTM2"," 1","106"," 1","170","0.999999999999998","1"
"LRTOMT"," 2","105"," 0","171","0.286865559264561","1"
"LRWD1"," 2","105"," 3","168","0.999999999999997","1"
"LSG1"," 5","102"," 0","171","0.0169036633661737","1"
"LSM10"," 1","106"," 0","171","0.812659244996201","1"
"LSM11"," 2","105"," 0","171","0.286865559264561","1"
"LSM12"," 1","106"," 0","171","0.812659244996201","1"
"LSM14A"," 5","102"," 0","171","0.0169036633661737","1"
"LSM14B"," 1","106"," 1","170","0.999999999999998","1"
"LSM2"," 8"," 99"," 4","167","0.0805392474924275","1"
"LSM3"," 1","106"," 1","170","0.999999999999998","1"
"LSM5"," 3","104"," 2","169","0.593473499958091","1"
"LSM7"," 1","106"," 0","171","0.812659244996201","1"
"LSR"," 3","104"," 2","169","0.593473499958091","1"
"LSS"," 5","102"," 3","168","0.294814949816856","1"
"LTA"," 3","104"," 1","170","0.320164865085647","1"
"LTA4H"," 3","104"," 3","168","0.871530895456888","1"
"LTB"," 1","106"," 1","170","0.999999999999998","1"
"LTB4R2"," 4","103"," 2","169","0.312518692037205","1"
"LTBP1"," 8"," 99"," 2","169","0.0156599187921583","1"
"LTBP2"," 9"," 98"," 5","166","0.0794630426429035","1"
"LTBP3"," 7","100"," 0","171","0.002751428116422","1"
"LTBP4"," 3","104"," 7","164","0.817345868909524","1"
"LTF"," 2","105"," 2","169","0.999999999999998","1"
"LTK"," 6","101"," 2","169","0.0742730361279885","1"
"LTN1"," 5","102"," 7","164","0.999999999999996","1"
"LTV1"," 1","106"," 3","168","0.967330798322832","1"
"LUC7L"," 1","106"," 1","170","0.999999999999998","1"
"LUC7L2"," 1","106"," 0","171","0.812659244996201","1"
"LUC7L3"," 2","105"," 2","169","0.999999999999998","1"
"LUM"," 4","103"," 2","169","0.312518692037205","1"
"LURAP1L"," 1","106"," 1","170","0.999999999999998","1"
"LUZP1"," 6","101"," 2","169","0.0742730361279885","1"
"LUZP2"," 4","103"," 2","169","0.312518692037205","1"
"LUZP4"," 2","105"," 3","168","0.999999999999997","1"
"LVRN"," 5","102"," 5","166","0.666492643123929","1"
"LXN"," 1","106"," 0","171","0.812659244996201","1"
"LY6D"," 1","106"," 1","170","0.999999999999998","1"
"LY6E"," 1","106"," 1","170","0.999999999999998","1"
"LY6G5B"," 1","106"," 0","171","0.812659244996201","1"
"LY6G5C"," 1","106"," 0","171","0.812659244996201","1"
"LY6H"," 4","103"," 0","171","0.0424384823215139","1"
"LY6K"," 1","106"," 1","170","0.999999999999998","1"
"LY75"," 3","104"," 5","166","0.999999999999999","1"
"LY86"," 1","106"," 0","171","0.812659244996201","1"
"LY9"," 2","105"," 3","168","0.999999999999997","1"
"LY96"," 2","105"," 0","171","0.286865559264561","1"
"LYAR"," 2","105"," 1","170","0.680353679627556","1"
"LYL1"," 1","106"," 0","171","0.812659244996201","1"
"LYN"," 2","105"," 3","168","0.999999999999997","1"
"LYPD1"," 1","106"," 0","171","0.812659244996201","1"
"LYPD2"," 2","105"," 1","170","0.680353679627556","1"
"LYPD4"," 2","105"," 1","170","0.680353679627556","1"
"LYPD6B"," 2","105"," 2","169","0.999999999999998","1"
"LYPLA2"," 2","105"," 0","171","0.286865559264561","1"
"LYPLA2P1"," 1","106"," 0","171","0.812659244996201","1"
"LYRM2"," 1","106"," 0","171","0.812659244996201","1"
"LYSMD1"," 3","104"," 2","169","0.593473499958091","1"
"LYSMD3"," 2","105"," 1","170","0.680353679627556","1"
"LYSMD4"," 1","106"," 1","170","0.999999999999998","1"
"LYST","12"," 95","14","157","0.527409196625056","1"
"LYVE1"," 1","106"," 1","170","0.999999999999998","1"
"LYZ"," 2","105"," 2","169","0.999999999999998","1"
"LYZL1"," 2","105"," 1","170","0.680353679627556","1"
"LYZL2"," 1","106"," 3","168","0.967330798322832","1"
"LYZL6"," 1","106"," 2","169","0.999999999999989","1"
"LZIC"," 1","106"," 0","171","0.812659244996201","1"
"LZTR1"," 5","102"," 4","167","0.470610920420767","1"
"LZTS1"," 7","100"," 1","170","0.0116610722015692","1"
"LZTS2"," 3","104"," 5","166","0.999999999999999","1"
"LZTS3"," 2","105"," 6","165","0.669376764406716","1"
"M1AP"," 1","106"," 3","168","0.967330798322832","1"
"M6PR"," 1","106"," 1","170","0.999999999999998","1"
"MAATS1"," 8"," 99"," 6","165","0.233984347266704","1"
"MAB21L1"," 2","105"," 4","167","1","1"
"MAB21L2"," 2","105"," 2","169","0.999999999999998","1"
"MAB21L3"," 3","104"," 1","170","0.320164865085647","1"
"MACC1"," 4","103"," 5","166","0.980013824497191","1"
"MACF1","17"," 90","11","160","0.0190792740212707","1"
"MACROD1"," 1","106"," 0","171","0.812659244996201","1"
"MACROD2"," 2","105"," 4","167","1","1"
"MAD1L1"," 2","105"," 4","167","1","1"
"MAD2L2"," 1","106"," 1","170","0.999999999999998","1"
"MADD"," 7","100"," 4","167","0.151881563145337","1"
"MAEA"," 2","105"," 5","166","0.878536797268131","1"
"MAEL"," 1","106"," 1","170","0.999999999999998","1"
"MAF"," 1","106"," 5","166","0.492383561795919","1"
"MAF1"," 2","105"," 2","169","0.999999999999998","1"
"MAFB"," 1","106"," 3","168","0.967330798322832","1"
"MAG"," 8"," 99"," 5","166","0.144988827819325","1"
"MAGEA1"," 3","104"," 1","170","0.320164865085647","1"
"MAGEA10"," 5","102"," 2","169","0.155403873458458","1"
"MAGEA11"," 2","105"," 2","169","0.999999999999998","1"
"MAGEA12"," 4","103"," 1","170","0.143932341229931","1"
"MAGEA3"," 4","103"," 4","167","0.756327580501328","1"
"MAGEA4"," 2","105"," 2","169","0.999999999999998","1"
"MAGEA6"," 3","104"," 1","170","0.320164865085647","1"
"MAGEA8"," 4","103"," 1","170","0.143932341229931","1"
"MAGEB1"," 3","104"," 3","168","0.871530895456888","1"
"MAGEB16"," 1","106"," 0","171","0.812659244996201","1"
"MAGEB18"," 2","105"," 4","167","1","1"
"MAGEB2"," 2","105"," 1","170","0.680353679627556","1"
"MAGEB3"," 2","105"," 4","167","1","1"
"MAGEB4"," 3","104"," 1","170","0.320164865085647","1"
"MAGEB6"," 3","104"," 2","169","0.593473499958091","1"
"MAGEB6P1"," 3","104"," 2","169","0.593473499958091","1"
"MAGEC1","12"," 95","12","159","0.320697283418354","1"
"MAGEC2"," 2","105"," 1","170","0.680353679627556","1"
"MAGEC3"," 7","100"," 6","165","0.382315802619587","1"
"MAGED1"," 2","105"," 4","167","1","1"
"MAGED2"," 5","102"," 1","170","0.0631423104346593","1"
"MAGEE1","10"," 97"," 4","167","0.0204785547116704","1"
"MAGEE2"," 6","101"," 6","165","0.592979145315639","1"
"MAGEH1"," 1","106"," 1","170","0.999999999999998","1"
"MAGEL2"," 5","102"," 5","166","0.666492643123929","1"
"MAGI1"," 8"," 99"," 7","164","0.346193434216405","1"
"MAGI2"," 9"," 98"," 9","162","0.431052464107766","1"
"MAGI3"," 8"," 99"," 3","168","0.038902185841299","1"
"MAGIX"," 2","105"," 1","170","0.680353679627556","1"
"MAGOHB"," 1","106"," 1","170","0.999999999999998","1"
"MAGT1"," 6","101"," 1","170","0.0272817440165634","1"
"MAK"," 3","104"," 2","169","0.593473499958091","1"
"MAK16"," 5","102"," 6","165","0.866338712001005","1"
"MAL"," 1","106"," 2","169","0.999999999999989","1"
"MAL2"," 1","106"," 2","169","0.999999999999989","1"
"MALAT1","15"," 92","13","158","0.127299441456068","1"
"MALT1"," 1","106"," 2","169","0.999999999999989","1"
"MAMDC2"," 2","105"," 3","168","0.999999999999997","1"
"MAMDC4"," 3","104"," 3","168","0.871530895456888","1"
"MAML1"," 3","104"," 3","168","0.871530895456888","1"
"MAML2"," 4","103"," 3","168","0.52612126455169","1"
"MAML3"," 4","103"," 2","169","0.312518692037205","1"
"MAMLD1"," 4","103"," 2","169","0.312518692037205","1"
"MAMSTR"," 1","106"," 1","170","0.999999999999998","1"
